ID,Arquitetura,Modelo,Fase,Pipeline,Input,Resolução,Batch,Pesos / Freezing,Augment.,Otimiz. / LR,Scheduler,Filtro,Sampler,Regularização,Patience,Epochs,Best Epoch,Tempo Total (min),Val_Loss (Final),Acurácia (Teste),F1-Score,Recall,AUC,Grad-CAM (Foco Correto?)
M1,CNN,EfficientNetV2-S,1,End-to-End,Full Image,224x224,32,ImageNet (Unfrozen),HFlip + Rot15° + ColorJitter,AdamW / 1e-4,None,None,Class Weights (Loss),None,15,100,25,18.29,0.8203,0.8612,0.6609,0.7451,0.8997,Incorreto
M2,CNN,DenseNet-201,1,End-to-End,Full Image,224x224,32,ImageNet (Unfrozen),HFlip + Rot15° + ColorJitter,AdamW / 1e-4,None,None,Class Weights (Loss),None,15,100,8,10.81,0.3759,0.8648,0.6885,0.8235,0.9406,Incorreto
M3,ViT,ViT-Base,1,End-to-End,Full Image,224x224,16,ImageNet (Unfrozen),HFlip + Rot15° + ColorJitter,AdamW / 1e-4,None,None,Class Weights (Loss),None,15,100,10,11.57,0.5415,0.6940,0.5114,0.8824,0.8274,Incorreto
M4,ViT,DeiT-B (Distilled),1,End-to-End,Full Image,224x224,32,ImageNet (Unfrozen),HFlip + Rot15° + ColorJitter,AdamW / 1e-4,None,None,Class Weights (Loss),None,15,100,3,8.47,0.5287,0.8505,0.6441,0.7451,0.8984,Incorreto
M5,ViT,BEiT-Base,1,End-to-End,Full Image,224x224,16,ImageNet (Unfrozen),HFlip + Rot15° + ColorJitter,AdamW / 1e-4,None,None,Class Weights (Loss),None,15,100,12,12.64,0.5527,0.6726,0.4177,0.6471,0.7454,Incorreto
M6,Híbrido,SwinV2-Tiny,1,End-to-End,Full Image,256x256,32,ImageNet (Unfrozen),HFlip + Rot15° + ColorJitter,AdamW / 1e-4,None,None,Class Weights (Loss),None,15,100,5,11.40,0.4047,0.9004,0.7742,0.9412,0.9610,Incorreto
M7,Híbrido,MaxViT-Tiny,1,End-to-End,Full Image,256x256,16,ImageNet (Unfrozen),HFlip + Rot15° + ColorJitter,AdamW / 1e-4,None,None,Class Weights (Loss),None,15,100,10,12.37,0.4319,0.9075,0.7547,0.7843,0.9286,Incorreto
M8,Híbrido,CoAtNet-2,1,End-to-End,Full Image,224x224,16,ImageNet (Unfrozen),HFlip + Rot15° + ColorJitter,AdamW / 1e-4,None,None,Class Weights (Loss),None,15,100,24,20.08,0.4577,0.8114,0.6074,0.8039,0.8747,Incorreto
M9,CNN,YOLOv8n-cls,1,End-to-End,Full Image,224x224,32,ImageNet (Unfrozen),YOLO Default,YOLO Default,YOLO Default,None,None,None,Auto,Auto,Auto,N/A,N/A,0.9075,0.7347,0.7059,0.9256,Incorreto
M1,CNN,EfficientNetV2-S,1.5,End-to-End,ROI Crop 15%,224x224,32,ImageNet (Unfrozen),HFlip + Rot15° + ColorJitter,AdamW / 1e-4,None,None,Class Weights (Loss),None,15,100,8,7.39,0.5836,0.8078,0.2500,0.1765,0.7124,Incorreto
