Modelo,Padding,Val_Loss,Acuracia,Precision,Recall,F1_Score,AUC
tf_efficientnetv2_l,0.15,0.2593,0.9431,0.8571,0.8235,0.84,0.9646
efficientnet_b1,0.15,0.3416,0.9039,0.7308,0.7451,0.7379,0.922
resnet50,0.15,0.3259,0.9039,0.6935,0.8431,0.7611,0.9425
densenet121,0.15,0.2608,0.9431,0.907,0.7647,0.8298,0.9344
convnext_tiny,0.15,0.3142,0.9217,0.7736,0.8039,0.7885,0.9142
tf_efficientnetv2_l,0.3,0.2599,0.9466,0.8913,0.8039,0.8454,0.9592
efficientnet_b1,0.3,0.3206,0.9288,0.8163,0.7843,0.8,0.9217
resnet50,0.3,0.32,0.9324,0.7963,0.8431,0.819,0.9431
densenet121,0.3,0.2712,0.9359,0.8667,0.7647,0.8125,0.9365
convnext_tiny,0.3,0.3194,0.9324,0.8333,0.7843,0.8081,0.9026
tf_efficientnetv2_l,0.4,0.2815,0.9573,0.9333,0.8235,0.875,0.9498
efficientnet_b1,0.4,0.3134,0.9004,0.717,0.7451,0.7308,0.9391
resnet50,0.4,0.3384,0.9217,0.7458,0.8627,0.8,0.9533
densenet121,0.4,0.2703,0.9217,0.7959,0.7647,0.78,0.9374
convnext_tiny,0.4,0.2962,0.9217,0.7636,0.8235,0.7925,0.9365
tf_efficientnetv2_l,0.5,0.2653,0.9431,0.907,0.7647,0.8298,0.9755
efficientnet_b1,0.5,0.3326,0.9146,0.7647,0.7647,0.7647,0.9336
resnet50,0.5,0.3293,0.911,0.6912,0.9216,0.7899,0.9529
densenet121,0.5,0.2769,0.9324,0.82,0.8039,0.8119,0.9483
convnext_tiny,0.5,0.308,0.8754,0.6212,0.8039,0.7009,0.9285
