split,class,file,min_border_dist,f6_border_touch,f9_reflect,s_fit,s_used,cent_dist_f6,cent_dist_f9,cent_dist_delta_f9_minus_f6,lesion_frac_f6,lesion_frac_f9,lesion_frac_delta,img_diff_mean,img_diff_p95
teste,benigno,IMG000234.jpeg,504,False,False,0.5962732919254659,0.5962732919254659,13.086264610290527,12.814576148986816,-0.27168846130371094,0.18444613,0.184316,-0.00013013184,4.857632107204861,20.0
teste,benigno,IMG000246.jpeg,132,False,False,1.2467532467532467,1.2467532467532467,12.196680068969727,12.718461990356445,0.5217819213867188,0.15703675,0.157158,0.00012125075,5.080776638454861,18.0
teste,benigno,IMG000247.jpeg,0,True,False,0.23132530120481928,0.23132530120481928,58.52650451660156,99.98233795166016,41.455833435058594,0.24278522,0.24283725,5.2034855e-05,59.4603587962963,146.0
teste,benigno,IMG000253.jpeg,93,False,False,2.075675675675676,1.5,9.039750099182129,8.700374603271484,-0.33937549591064453,0.034131534,0.033930525,-0.00020100921,1.1951700846354167,6.0
teste,benigno,IMG000254.jpeg,223,False,False,2.4150943396226414,1.5,5.102614402770996,5.985415935516357,0.8828015327453613,0.022847963,0.022895925,4.796125e-05,0.6864669234664352,5.0
teste,benigno,IMG000267.jpeg,552,False,False,0.9142857142857143,0.9142857142857143,6.60906457901001,6.768221378326416,0.15915679931640625,0.04758542,0.047489688,-9.573251e-05,2.0020842375578702,10.0
teste,benigno,IMG000273.jpeg,593,False,False,0.3874873864783047,0.3874873864783047,1.1197057962417603,1.2795881032943726,0.1598823070526123,0.08228117,0.08224866,-3.2514334e-05,1.1059095594618056,6.0
teste,benigno,IMG000297.jpeg,193,False,False,3.0476190476190474,1.5,10.993278503417969,11.679878234863281,0.6865997314453125,0.012641059,0.012718108,7.704832e-05,0.41319218388310186,3.0
teste,benigno,IMG000320.jpeg,408,False,False,4.923076923076923,1.5,3.623412847518921,4.502377510070801,0.8789646625518799,0.012117373,0.012181812,6.443914e-05,0.4254014756944444,2.0
teste,benigno,IMG000324.jpeg,315,False,False,2.742857142857143,1.5,4.9113898277282715,4.8654985427856445,-0.04589128494262695,0.066253364,0.06609254,-0.00016082078,1.5482878508391205,8.0
teste,benigno,IMG000328.jpeg,670,False,False,0.6254071661237784,0.6254071661237784,20.252113342285156,20.18138313293457,-0.07073020935058594,0.07680481,0.07674115,-6.365776e-05,3.8068372938368054,17.0
teste,benigno,IMG000331.jpeg,823,False,False,1.3963636363636365,1.3963636363636365,9.971114158630371,9.717732429504395,-0.25338172912597656,0.2203065,0.22049625,0.00018975139,5.02574779369213,16.0
teste,benigno,IMG000345.jpeg,829,False,False,0.9770992366412213,0.9770992366412213,9.738663673400879,9.730128288269043,-0.008535385131835938,0.07623639,0.07616449,-7.18981e-05,1.9727624963831019,9.0
teste,benigno,IMG000354.jpeg,522,False,False,0.7868852459016393,0.7868852459016393,15.33107852935791,15.331276893615723,0.0001983642578125,0.0630835,0.063250266,0.00016676635,0.7913049768518519,4.0
teste,benigno,IMG000355.jpeg,487,False,False,0.7885010266940452,0.7885010266940452,16.57124900817871,16.552858352661133,-0.018390655517578125,0.061761215,0.061661795,-9.942055e-05,0.8403388129340278,4.0
teste,benigno,IMG000363.jpeg,491,False,False,0.9696969696969697,0.9696969696969697,16.83492660522461,17.040943145751953,0.20601654052734375,0.10377589,0.103925645,0.00014975667,4.661440248842593,15.0
teste,benigno,IMG000367.jpeg,362,False,False,1.7066666666666668,1.5,6.674556255340576,7.016823768615723,0.3422675132751465,0.06346222,0.06336836,-9.3862414e-05,1.4641294126157407,8.0
teste,benigno,IMG000376.jpeg,0,True,True,0.14024835646457268,0.14024835646457268,16.518226623535156,57.95962905883789,41.441402435302734,0.0935194,0.09364783,0.00012843311,44.537803367332174,130.64999999996508
teste,benigno,IMG000379.jpeg,414,False,False,0.5039370078740157,0.5039370078740157,3.3269572257995605,3.326355457305908,-0.0006017684936523438,0.05415794,0.05402736,-0.00013057888,0.6758083767361112,4.0
teste,benigno,IMG000394.jpeg,0,True,True,0.34657039711191334,0.34657039711191334,25.84042739868164,15.986004829406738,-9.854422569274902,0.111256465,0.11133143,7.496774e-05,29.926787199797452,87.0
teste,benigno,IMG000399.jpeg,0,True,True,0.14211695040710584,0.14211695040710584,20.384361267089844,93.37022399902344,72.9858627319336,0.10540512,0.1053175,-8.761883e-05,76.65430139612269,192.0
teste,benigno,IMG000419.jpeg,514,False,False,1.1962616822429906,1.1962616822429906,3.9103856086730957,4.004920482635498,0.09453487396240234,0.18602675,0.18600085,-2.5898218e-05,3.0796373155381946,9.0
teste,benigno,IMG000420.jpeg,520,False,False,2.064516129032258,1.5,16.42813491821289,16.273658752441406,-0.15447616577148438,0.09399651,0.09382748,-0.00016903132,2.4444173177083335,10.0
teste,benigno,IMG000422.jpeg,525,False,False,2.0104712041884816,1.5,1.8954590559005737,2.879544973373413,0.9840859174728394,0.06856483,0.06852713,-3.7699938e-05,4.339884440104167,20.0
teste,benigno,IMG000430.jpeg,631,False,False,0.2833948339483395,0.2833948339483395,22.045303344726562,22.14468765258789,0.09938430786132812,0.0055002836,0.00550884,8.556526e-06,1.9757780852141205,11.0
teste,benigno,IMG000433.jpeg,746,False,False,0.9795918367346939,0.9795918367346939,3.1193714141845703,3.4052093029022217,0.28583788871765137,0.11991184,0.11977927,-0.00013257563,3.383877224392361,15.0
teste,benigno,IMG000434.jpeg,769,False,False,1.0158730158730158,1.0158730158730158,7.743799686431885,7.907258987426758,0.16345930099487305,0.11106951,0.11099288,-7.662922e-05,3.4050428602430554,15.0
teste,benigno,IMG000435.jpeg,384,False,False,0.6254071661237784,0.6254071661237784,10.499785423278809,10.49936580657959,-0.00041961669921875,0.084933504,0.08485924,-7.426739e-05,1.1803046332465277,5.0
teste,benigno,IMG000438.jpeg,557,False,False,1.0878186968838528,1.0878186968838528,10.728287696838379,10.712531089782715,-0.015756607055664062,0.11569248,0.115763016,7.053465e-05,1.0525648328993056,4.0
teste,benigno,IMG000439.jpeg,393,False,False,4.465116279069767,1.5,3.1774537563323975,2.7325758934020996,-0.44487786293029785,0.020029042,0.020029034,-7.450581e-09,0.5588107638888888,3.0
teste,benigno,IMG000449.jpeg,535,False,False,0.4439306358381503,0.4439306358381503,13.061832427978516,13.064849853515625,0.003017425537109375,0.1818808,0.18192285,4.2051077e-05,2.0401204427083335,7.0
teste,benigno,IMG000452.jpeg,251,False,False,0.4280936454849498,0.4280936454849498,19.958341598510742,20.350847244262695,0.3925056457519531,0.059055075,0.059104323,4.9248338e-05,6.57293701171875,21.0
teste,benigno,IMG000463.jpeg,305,False,False,0.2318840579710145,0.2318840579710145,16.84505844116211,16.81316566467285,-0.03189277648925781,0.1346307,0.13481952,0.00018882751,1.8650444878472223,8.0
teste,benigno,IMG000474.jpeg,0,True,True,0.15403128760529483,0.15403128760529483,5.075006484985352,50.27531433105469,45.200307846069336,0.060417905,0.060357638,-6.0267746e-05,48.66068070023148,151.0
